id/bioguide,id/govtrack,id/icpsr_prez,name/first,name/last,bio/birthday,bio/gender,terms/0/type,terms/0/start,terms/0/end,terms/0/party,terms/0/how,terms/1/type,terms/1/start,terms/1/end,terms/1/party,terms/1/how,terms/2/type,terms/2/start,terms/2/end,terms/2/party,terms/2/how,id/icpsr,name/suffix,name/middle,terms/3/type,terms/3/start,terms/3/end,terms/3/party,terms/3/how,id/thomas,name/nickname,id/lis,id/opensecrets,id/votesmart,id/fec/0,bio/religion,id/wikipedia,id/house_history,id/wikidata,id/google_entity_id
W000178,411351,99869,George,Washington,1732-02-22,M,prez,1789-04-30,1793-03-04,no party,election,prez,1793-03-04,1797-03-04,no party,election,,,,,,,,,,,,,,,,,,,,,,,,
A000039,400699,99870,John,Adams,1735-10-19,M,viceprez,1789-04-21,1793-03-04,Federalist,election,viceprez,1793-03-04,1797-03-04,Federalist,election,prez,1797-03-04,1801-03-04,Federalist,election,,,,,,,,,,,,,,,,,,,
J000069,405974,99871,Thomas,Jefferson,1743-04-13,M,viceprez,1797-03-04,1801-03-04,Democratic-Republican,election,prez,1801-03-04,1805-03-04,Democratic-Republican,election,prez,1805-03-04,1809-03-04,Democratic-Republican,election,,,,,,,,,,,,,,,,,,,
B001133,402077,,Aaron,Burr,1756-02-06,M,viceprez,1801-03-04,1805-03-04,Democratic-Republican,election,,,,,,,,,,,1302,Jr.,,,,,,,,,,,,,,,,,
C000527,412587,,George,Clinton,1739-07-26,M,viceprez,1805-03-04,1809-03-04,Democratic-Republican,election,viceprez,1809-03-04,1812-04-20,Democratic-Republican,election,,,,,,,,,,,,,,,,,,,,,,,,
G000139,404507,,Elbridge,Gerry,1744-07-17,M,viceprez,1813-03-04,1814-11-23,Democratic-Republican,election,,,,,,,,,,,3541,,,,,,,,,,,,,,,,,,
M000043,407071,99872,James,Madison,1751-03-16,M,prez,1809-03-04,1813-03-04,Democratic-Republican,election,prez,1813-03-04,1817-03-04,Democratic-Republican,election,,,,,,5903,,,,,,,,,,,,,,,,,,
T000306,412588,,Daniel,Tompkins,1774-06-21,M,viceprez,1817-03-04,1821-03-05,Democratic-Republican,election,viceprez,1821-03-05,1825-03-04,Democratic-Republican,election,,,,,,,,D.,,,,,,,,,,,,,,,,
M000858,407829,99873,James,Monroe,1758-04-28,M,prez,1817-03-04,1821-03-05,Democratic-Republican,election,prez,1821-03-05,1825-03-04,Democratic-Republican,election,,,,,,6594,,,,,,,,,,,,,,,,,,
A000041,400702,99874,John,Adams,1767-07-11,M,prez,1825-03-04,1829-03-04,Democratic-Republican,election,,,,,,,,,,,34,,Quincy,,,,,,,,,,,,,,,,
C000044,402205,,John,Calhoun,1782-03-18,M,viceprez,1825-03-04,1829-03-04,Democratic-Republican,election,viceprez,1829-03-04,1832-12-28,Democratic,election,,,,,,1418,,Caldwell,,,,,,,,,,,,,,,,
J000005,405913,99875,Andrew,Jackson,1767-03-15,M,prez,1829-03-04,1833-03-04,Democratic,election,prez,1833-03-04,1837-03-04,Democratic,election,,,,,,4843,,,,,,,,,,,,,,,,,,
J000170,406067,,Richard,Johnson,1780-10-17,M,viceprez,1837-03-04,1841-03-04,Democratic,election,,,,,,,,,,,4988,,Mentor,,,,,,,,,,,,,,,,
V000009,411074,99876,Martin,Van Buren,1782-12-05,M,viceprez,1833-03-04,1837-03-04,Democratic,election,prez,1837-03-04,1841-03-04,Democratic,election,,,,,,9595,,,,,,,,,,,,,,,,,,
H000279,405153,99877,William,Harrison,1773-02-09,M,prez,1841-03-04,1841-04-04,Whig,election,,,,,,,,,,,4138,,Henry,,,,,,,,,,,,,,,,
T000450,411018,99878,John,Tyler,1790-03-29,M,viceprez,1841-03-04,1841-04-04,Whig,election,prez,1841-04-04,1845-03-04,Whig,succession,,,,,,9542,,,,,,,,,,,,,,,,,,
D000011,403154,,George,Dallas,1792-07-10,M,viceprez,1845-03-04,1849-03-04,Democratic,election,,,,,,,,,,,2305,,Mifflin,,,,,,,,,,,,,,,,
P000409,408802,99879,James,Polk,1795-11-02,M,prez,1845-03-04,1849-03-04,Democratic,election,,,,,,,,,,,7507,,Knox,,,,,,,,,,,,,,,,
,412344,99880,Zachary,Taylor,1784-11-24,M,prez,1849-03-04,1850-07-09,Whig,election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F000115,404072,99881,Millard,Fillmore,1800-01-07,M,viceprez,1849-03-04,1850-07-09,Whig,election,prez,1850-07-09,1853-03-04,Whig,succession,,,,,,3140,,,,,,,,,,,,,,,,,,
K000217,406377,,William,King,1786-04-07,M,viceprez,1853-03-04,1853-04-18,Democratic,election,,,,,,,,,,,5275,,Rufus de Vane,,,,,,,,,,,,,,,,
P000333,408730,99882,Franklin,Pierce,1804-11-23,M,prez,1853-03-04,1857-03-04,Democratic,election,,,,,,,,,,,7435,,,,,,,,,,,,,,,,,,
B000789,401746,99883,John,Breckinridge,1821-01-16,M,viceprez,1857-03-04,1861-03-04,Democratic,election,,,,,,,,,,,995,,Cabell,,,,,,,,,,,,,,,,
B001005,401954,99883,James,Buchanan,1791-04-23,M,prez,1857-03-04,1861-03-04,Democratic,election,,,,,,,,,,,1186,,,,,,,,,,,,,,,,,,
H000121,405003,,Hannibal,Hamlin,1809-08-27,M,viceprez,1861-03-04,1865-03-04,Republican,election,,,,,,,,,,,4001,,,,,,,,,,,,,,,,,,
